id;nome_municipio;populacao
815; 'Moraújo;2308807
816; 'Morrinhos';2308906
817; 'Mucambo';2309003
818; 'Mulungu';2309102
819; 'Nova Olinda';2309201
820; 'Nova Russas';2309300
821; 'Novo Oriente';2309409
822; 'Ocara';2309458
823; 'Orós;2309508
824; 'Pacajus';2309607
825; 'Pacatuba';2309706
826; 'Pacoti';2309805
827; 'Pacujá;2309904
828; 'Palhano';2310001
829; 'Palmácia;2310100
830; 'Paracuru';2310209
831; 'Paraipaba';2310258
832; 'Parambu';2310308
833; 'Paramoti';2310407
834; 'Pedra Branca';2310506
835; 'Penaforte';2310605
836; 'Pentecoste';2310704
837; 'Pereiro';2310803
838; 'Pindoretama';2310852
839; 'Piquet Carneiro';2310902
840; 'Pires Ferreira';2310951
841; 'Poranga';2311009
842; 'Porteiras';2311108
843; 'Potengi';2311207
844; 'Potiretama';2311231
845; 'Quiterianópolis;2311264
846; 'Quixadá;2311306
847; 'Quixelô;2311355
848; 'Quixeramobim';2311405
849; 'Quixeré;2311504
850; 'Redençã;2311603
851; 'Reriutaba';2311702
852; 'Russas';2311801
853; 'Saboeiro';2311900
854; 'Salitre';2311959
855; 'Santa Quitéria;2312205
856; 'Santana do Acaraú;2312007
857; 'Santana do Cariri';2312106
858; 'São Benedito;2312304
859; 'São Gonçalo do Amarant;2312403
860; 'São João do Jaguarib;2312502
861; 'São Luís do Cur;2312601
862; 'Senador Pompeu';2312700
863; 'Senador Sá;2312809
864; 'Sobral';2312908
865; 'Solonópole;2313005
866; 'Tabuleiro do Norte';2313104
867; 'Tamboril';2313203
868; 'Tarrafas';2313252
869; 'Tauá;2313302
870; 'Tejuçuoca;2313351
871; 'Tianguá;2313401
872; 'Trairi';2313500
873; 'Tururu';2313559
874; 'Ubajara';2313609
875; 'Umari';2313708
876; 'Umirim';2313757
877; 'Uruburetama';2313807
878; 'Uruoca';2313906
879; 'Varjota';2313955
880; 'Várzea Alegre;2314003
881; 'Viçosa do Cear�;2314102
882; 'Brasília;5300108
883; 'Abadia de Goiás;5200050
884; 'Abadiânia;5200100
885; 'Acreúna;5200134
886; 'Adelândia;5200159
887; 'Água Fria de Goiá;5200175
888; 'Água Limpa;5200209
889; 'Águas Lindas de Goiá;5200258
890; 'Alexânia;5200308
891; 'Aloândia;5200506
892; 'Alto Horizonte';5200555
893; 'Alto Paraíso de Goiá;5200605
894; 'Alvorada do Norte';5200803
895; 'Amaralina';5200829
896; 'Americano do Brasil';5200852
897; 'Amorinópolis;5200902
898; 'Anápolis;5201108
899; 'Anhanguera';5201207
900; 'Anicuns';5201306
901; 'Aparecida de Goiânia;5201405
902; 'Aparecida do Rio Doce';5201454
903; 'Aporé;5201504
904; 'Araçu;5201603
905; 'Aragarças;5201702
906; 'Aragoiânia;5201801
907; 'Araguapaz';5202155
908; 'Arenópolis;5202353
909; 'Aruanã;5202502
910; 'Aurilândia;5202601
911; 'Avelinópolis;5202809
